('DAI22240', 'FRO40251') 0.18760469011725292
('ELE92920', 'ELE32164') 0.1871345029239766
('FRO43226', 'FRO40251') 0.18696397941680962
('SNA93860', 'FRO85978') 0.1869225302061123
('ELE53126', 'SNA99873') 0.1863799283154122
('DAI22896', 'SNA72163') 0.18621821164889255
('ELE66600', 'DAI62779') 0.18505545826036193
('FRO16142', 'SNA80324') 0.18474758324382384
('SNA80324', 'GRO73461') 0.18462549277266754
('SNA72163', 'FRO40251') 0.18440366972477065
('SNA55762', 'ELE17451') 0.18408262454434993
('ELE49801', 'GRO73461') 0.18401206636500755
('FRO43226', 'DAI62779') 0.1835334476843911
('SNA18336', 'DAI42493') 0.18335684062059238
('ELE66810', 'DAI35347') 0.18326458456098998
('DAI22896', 'GRO38814') 0.18293683347005743
('GRO81087', 'FRO40251') 0.18278688524590164
('FRO16142', 'FRO40251') 0.18259935553168635
('DAI31081', 'ELE17451') 0.1823949246629659
('GRO38983', 'FRO40251') 0.18235995232419547
('GRO32086', 'DAI62779') 0.1822429906542056
('ELE37048', 'FRO40251') 0.18204488778054864
('GRO35122', 'SNA80324') 0.18192488262910797
('DAI87448', 'GRO56726') 0.18181818181818182
('SNA62128', 'ELE17451') 0.18181818181818182
('GRO56726', 'GRO73461') 0.18161434977578475
('FRO53271', 'FRO31317') 0.18098591549295776
('GRO35122', 'ELE17451') 0.1807511737089202
('SNA93860', 'SNA53220') 0.18052594171997158
('GRO38814', 'DAI75645') 0.1804733727810651
('ELE53126', 'ELE17451') 0.18040621266427717
('FRO43226', 'FRO48038') 0.18010291595197256
('ELE17451', 'FRO40251') 0.17987096774193548
('FRO40251', 'ELE17451') 0.1795928884308168
('FRO85978', 'GRO73461') 0.17935349322210636
('ELE32164', 'ELE17451') 0.1792353560154332
('GRO69543', 'DAI75645') 0.17913832199546487
('FRO53271', 'ELE32164') 0.17887323943661973
('GRO15017', 'DAI75645') 0.17882352941176471
('GRO85051', 'ELE17451') 0.1787479406919275
('ELE74482', 'ELE37770') 0.17857142857142858
('DAI87448', 'GRO46854') 0.17832167832167833
('FRO16142', 'DAI75645') 0.17830290010741137
('ELE92920', 'FRO40251') 0.17794486215538846
('GRO50832', 'SNA80324') 0.17763157894736842
('GRO21487', 'FRO40251') 0.1773049645390071
('DAI95741', 'GRO46854') 0.1765375854214123
('SNA66979', 'ELE38289') 0.1763869132290185
('DAI22896', 'DAI75645') 0.1763740771123872
('SNA20554', 'DAI62779') 0.17631917631917632
('FRO19221', 'ELE69552') 0.1759379042690815
('DAI22240', 'ELE17451') 0.17587939698492464
('FRO32293', 'DAI62779') 0.17567567567567569
('ELE59028', 'ELE17451') 0.17533432392273401
('SNA96271', 'FRO40251') 0.17528957528957528
('SNA59061', 'GRO73461') 0.1752411575562701
('GRO73461', 'GRO21487') 0.17518045530260967
('SNA18336', 'ELE32164') 0.17489421720733428
('FRO75586', 'SNA80324') 0.17454068241469817
('ELE53126', 'FRO24098') 0.17443249701314217
('DAI95741', 'DAI85309') 0.17425968109339407
('SNA96271', 'GRO73461') 0.17374517374517376
('ELE49801', 'SNA93860') 0.17345399698340874
('DAI83733', 'ELE17451') 0.17289719626168223
('SNA47306', 'ELE26917') 0.17266187050359713
('DAI22240', 'ELE74482') 0.17252931323283083
('ELE20847', 'ELE17451') 0.17237163814180928
('GRO99222', 'SNA90258') 0.17218543046357615
('SNA66979', 'ELE66810') 0.1721194879089616
('FRO19221', 'ELE99737') 0.17205692108667528
('FRO78087', 'ELE66600') 0.17178314826910515
('SNA40784', 'GRO71621') 0.17176470588235293
